ID ответа,Дата ответа,Затраченное время,Источник ответа,Источник ответа,Респондент,IP-hash,UA-hash,Логин,Где Вы работаете?,В какой компании Вы работаете?,Какую должность Вы занимаете?,Оцените уровень заинтересованности и вовлеченности сотрудников вашей компании в зеленые и устойчивые практики?,"*Назовите причины, из-за которых Вы начали разрабатывать и внедрять зеленую маркетинговую стратегию в Вашей компании/бренде? Экологичность- популярный тренд",Увеличение динамики продаж,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,"Вариант ""другое""","Вариант ""затрудняюсь ответить""",Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли увеличить продажи и маржинальность FMCG продуктов?,Ваша зеленая маркетинговая стратегия и ориентация на устойчивое развитие помогли улучшить имидж и репутацию компании/брендов/продуктов?,На каком уровне реализации зеленой маркетинговой стратегии находится Ваша компания?,"Считаете ли Вы, что зеленую маркетинговую стратегию вашей компании можно назвать успешной?","* По вашему мнению, наиболее существенными и значимыми факторами, влияющими на увеличение прибыли в рамках зеленой маркетинговой стратегии в FMCG компании после трех лет ее реализации, являются (где 1- совсем не влияет, а 5- сильно влияет)?  Использование переработанного пластика в упаковках и полный переход на более экологичные источники сырья в FMCG продуктах ",Уменьшение выбросов CO2 минимум на 50% на всей цепочке создания ценности продуктов,"Зеленое производство, сертифицированное по LEED, ISO и другим экологическим сертификатам соответствия","Простая и понятная коммуникация компании в упаковке и рекламных кампаниях об экологичности продукта, его использовании, переработке, утилизации для потребителей",Экомаркировки продуктов,Конкурентноспособная цена зеленого продукта,Наличие минимум 90% натуральных компонентов в составе продуктов,Полная локальность FMCG продукта,"Бюджеты на трансформацию и активации зеленого маркетинга, составляющие более 15% от основного годового маркетингового бюджета",Наличие подробной системы гайдлайнов и инструкций по реализации зеленых маркетинговых стратегий у маркетинговой команды,* Привлекаете ли Вы различных экспертов и других стэйкхолдеров для помощи в реализации зеленой маркетинговой стратегии вашей компании?,*Оцените как новая политическая и экономическая реальность в России повлияли на интеграцию устойчивых практик в вашей компании?,* Какие факторы новой политической и экономической реальности сильнее всего повлияли на зеленую маркетинговую стратегию в Вашей компании? Снижение покупательской способности,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,Уход зарубежных партнёров и глобальных офисов,Отсутствие доступа к мировым рынкам и рейтингам,Нестабильность и невозможность планирования,"Вариант ""другое""","Вариант ""затрудняюсь ответить""","* Ощущаете ли Вы, что покупательская способность населения России значительно снизилась в 2022–2023 годах?",* Как проходит реализация зеленой маркетинговой стратегии в вашей компании?,"* Есть ли у вас определенные метрики, KPI и показатели, по которым вы оцениваете успешность зеленой маркетинговой стратегии?",* Присутствуют ли в ваших FMCG продуктах большое количество различных эко элементов?,* Какую ориентировочно стратегию зеленого маркетинга реализует ваша FMCG компания?,* Оцените лично ваш уровень заинтересованности и вовлеченности в зеленые и устойчивые практики?
67048821,2023.03.25 00:13,00:01:10,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Unilever,Junior,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,5,5,3,5,4,3,3,1,4,2,Да,Никак не повлияла,,,Переключение акцента компании на другие направления,,,Нестабильность и невозможность планирования,,,Скорее да,"Сложно сказать, не слишком быстро, и не слишком медленно","Да, у нас есть четкие индикаторы и метрики, все измеримо",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
67048789,2023.03.25 00:10,00:02:59,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Senior,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Не повлияло,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее да,5,4,3,3,5,5,5,1,4,1,Скорее да,Никак не повлияла,,,Переключение акцента компании на другие направления,Уход зарубежных партнёров и глобальных офисов,,,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
67048753,2023.03.25 00:05,00:01:09,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Junior,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Не повлияли,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Скорее да,5,5,3,5,5,5,5,2,2,2,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,Нестабильность и невозможность планирования,,,Скорее да,"Сложно сказать, не слишком быстро, и не слишком медленно","Что-то измеряем, но не все",Скорее да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
67048736,2023.03.25 00:02,00:02:04,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Middle,Высокий,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Да,Да,"Экспертный (наша компания полностью зеленая и устойчивая, зеленая стратегия лежит в нашем базисе",Да,5,5,3,3,4,3,5,2,2,1,Да,"Замедлила, многие устойчивые процессы приостановлены",,,Переключение акцента компании на другие направления,Уход зарубежных партнёров и глобальных офисов,,,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Средний
67048676,2023.03.24 23:56,00:01:11,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Henkel,Junior,Средний,Экологичность- популярный тренд,Увеличение динамики продаж,,,,,Нет,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Да,5,5,3,2,2,4,5,4,4,1,Нет,Немного ускорила,,Урезание маркетинговых бюджетов,Переключение акцента компании на другие направления,,,,,,Скорее да,"Сложно сказать, не слишком быстро, и не слишком медленно","Что-то измеряем, но не все",Скорее нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Средний
67048646,2023.03.24 23:52,00:01:03,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",P&G,Senior,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Не повлияли,Нет,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее нет,2,5,2,3,5,5,3,5,3,4,Да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Да,"Продвинутую. Активно трансформируем многие процессы, связанные с упаковками, сырьем, производством и маркетингом, стремимся стать еще более экологичными",Высокий
67008258,2023.03.23 22:13,00:01:32,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Loreal,Middle,Средний,Экологичность- популярный тренд,,,,,,Скорее да,Да,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее да,4,3,2,4,3,4,5,3,4,2,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,,,Уход зарубежных партнёров и глобальных офисов,,Нестабильность и невозможность планирования,,,Скорее да,"Быстро, но некоторые трудности нас затормозили","Что-то измеряем, но не все",Скорее да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
67008230,2023.03.23 22:11,00:02:01,Прямая ссылка,Прямая ссылка,,SBSQSDJYMB7ULOY3,XDTFNAMZO8OJ1CW6,,В российской компании,DRC (R.O.C.S.),Junior,Низкий,Экологичность- популярный тренд,,,,,,Скорее нет,Да,Начальный (только начали разрабатывать стратегию и что-то пробовать),Да,2,2,4,5,3,5,4,4,3,4,Нет,"Замедлила, многие устойчивые процессы приостановлены",,,,,,Нестабильность и невозможность планирования,,,Скорее да,"Сложно сказать, не слишком быстро, и не слишком медленно","Есть на уровне обычного перфоманс маркетинга, устойчивые метрики не используем",Нет,"Среднюю. Реализуем некоторые экологичные проекты, делаем акцент на экологичности продуктов, но ничего масштабного практически не делаем",Высокий
66900020,2023.03.21 13:15,00:01:08,Прямая ссылка,Прямая ссылка,USERID: 31671599,NSKAQPPHIMBTSPO3,QF39GJBJRVBXSURH,,"В филиале зарубежной компании или в компании, которая в течение последнего года отделилась от зарубежного главного офиса",Colgate-Palmolive,Middle,Высокий,,,Оптимизация производство,Имидж и репутация среди стэйкхолдеров,,,Скорее да,Скорее да,"Продвинутый (уже получены глобальные результаты зеленой стратегии, наша компания может называться устойчивой)",Скорее да,4,5,5,3,5,4,2,4,3,5,Скорее да,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Скорее да,"Довольно быстро и эффективно, с большими проблемами не сталкивались","Да, у нас есть четкие индикаторы и метрики, все измеримо",Скорее да,Экспертную. Полная трансформация всех процессов в компании в сторону устойчивого развития. Зеленая маркетинговая стратегия становится основной стратегией компании,Высокий
66899912,2023.03.21 13:14,00:01:05,Прямая ссылка,Прямая ссылка,USERID: 31671599,NSKAQPPHIMBTSPO3,QF39GJBJRVBXSURH,,В российской компании,Synergetic,Junior,Низкий,Экологичность- популярный тренд,,,,,,Скорее нет,Скорее нет,"Средний (уже реализуем большие проекты, обозначены направления развития)",Скорее нет,4,3,3,2,3,2,2,3,4,5,Нет,"Замедлила, многие устойчивые процессы приостановлены",Снижение покупательской способности,Урезание маркетинговых бюджетов,,,,,,,Нет,"Быстро, но некоторые трудности нас затормозили","Нет, ничего не измеряем",Скорее нет,"Сильно ограниченную. Немного улучшаем имидж из-за некоторых зеленых характеристик бренда, но не более, компанией прикладывается мало усилий в этом направлении",Средний
